scientific name,eBird species group
Struthio camelus,Ostriches
Struthio camelus camelus,Ostriches
Struthio camelus syriacus,Ostriches
Struthio camelus massaicus,Ostriches
Struthio camelus australis,Ostriches
Struthio molybdophanes,Ostriches
Struthio camelus/molybdophanes,Ostriches
Rhea americana,Rheas
Rhea americana araneipes,Rheas
Rhea americana americana,Rheas
Rhea americana nobilis,Rheas
Rhea americana albescens,Rheas
Rhea americana intermedia,Rheas
Rhea pennata,Rheas
Rhea pennata tarapacensis/garleppi,Rheas
Rhea pennata garleppi,Rheas
Rhea pennata tarapacensis,Rheas
Rhea pennata pennata,Rheas
Nothocercus julius,Tinamous
Nothocercus bonapartei,Tinamous
Nothocercus bonapartei [bonapartei Group],Tinamous
Nothocercus bonapartei intercedens,Tinamous
Nothocercus bonapartei discrepans,Tinamous
Nothocercus bonapartei bonapartei,Tinamous
Nothocercus bonapartei plumbeiceps,Tinamous
Nothocercus bonapartei frantzii,Tinamous
Nothocercus nigrocapillus,Tinamous
Nothocercus nigrocapillus cadwaladeri,Tinamous
Nothocercus nigrocapillus nigrocapillus,Tinamous
Tinamus tao,Tinamous
Tinamus tao larensis,Tinamous
Tinamus tao kleei,Tinamous
Tinamus tao septentrionalis,Tinamous
Tinamus tao tao,Tinamous
Tinamus solitarius,Tinamous
Tinamus osgoodi,Tinamous
Tinamus osgoodi hershkovitzi,Tinamous
Tinamus osgoodi osgoodi,Tinamous
Tinamus major,Tinamous
Tinamus major robustus,Tinamous
Tinamus major percautus,Tinamous
Tinamus major fuscipennis,Tinamous
Tinamus major castaneiceps,Tinamous
Tinamus major brunneiventris,Tinamous
Tinamus major saturatus,Tinamous
Tinamus major latifrons,Tinamous
Tinamus major zuliensis,Tinamous
Tinamus major peruvianus,Tinamous
Tinamus major serratus,Tinamous
Tinamus major major,Tinamous
Tinamus major olivascens,Tinamous
Tinamus guttatus,Tinamous
Tinamus sp.,Tinamous
Crypturellus cinereus,Tinamous
Crypturellus berlepschi,Tinamous
Crypturellus soui,Tinamous
Crypturellus soui meserythrus,Tinamous
Crypturellus soui modestus,Tinamous
Crypturellus soui capnodes,Tinamous
Crypturellus soui poliocephalus,Tinamous
Crypturellus soui panamensis,Tinamous
Crypturellus soui harterti,Tinamous
Crypturellus soui caucae,Tinamous
Crypturellus soui mustelinus,Tinamous
Crypturellus soui soui,Tinamous
Crypturellus soui caquetae,Tinamous
Crypturellus soui andrei,Tinamous
Crypturellus soui nigriceps,Tinamous
Crypturellus soui inconspicuus,Tinamous
Crypturellus soui albigularis,Tinamous
Crypturellus ptaritepui,Tinamous
Crypturellus obsoletus,Tinamous
Crypturellus obsoletus castaneus,Tinamous
Crypturellus obsoletus [obsoletus Group],Tinamous
Crypturellus obsoletus ochraceiventris,Tinamous
Crypturellus obsoletus traylori,Tinamous
Crypturellus obsoletus punensis,Tinamous
Crypturellus obsoletus cerviniventris,Tinamous
Crypturellus obsoletus knoxi,Tinamous
Crypturellus obsoletus griseiventris,Tinamous
Crypturellus obsoletus hypochraceus,Tinamous
Crypturellus obsoletus obsoletus,Tinamous
Crypturellus undulatus,Tinamous
Crypturellus undulatus manapiare,Tinamous
Crypturellus undulatus simplex,Tinamous
Crypturellus undulatus yapura,Tinamous
Crypturellus undulatus vermiculatus,Tinamous
Crypturellus undulatus adspersus,Tinamous
Crypturellus undulatus undulatus,Tinamous
Crypturellus transfasciatus,Tinamous
Crypturellus strigulosus,Tinamous
Crypturellus duidae,Tinamous
Crypturellus erythropus,Tinamous
Crypturellus erythropus columbianus,Tinamous
Crypturellus erythropus saltuarius,Tinamous
Crypturellus erythropus idoneus,Tinamous
Crypturellus erythropus cursitans,Tinamous
Crypturellus erythropus spencei,Tinamous
Crypturellus erythropus margaritae,Tinamous
Crypturellus erythropus erythropus,Tinamous
Crypturellus noctivagus,Tinamous
Crypturellus noctivagus zabele,Tinamous
Crypturellus noctivagus noctivagus,Tinamous
Crypturellus atrocapillus,Tinamous
Crypturellus atrocapillus atrocapillus,Tinamous
Crypturellus atrocapillus garleppi,Tinamous
Crypturellus boucardi,Tinamous
Crypturellus boucardi boucardi,Tinamous
Crypturellus boucardi costaricensis,Tinamous
Crypturellus kerriae,Tinamous
Crypturellus variegatus,Tinamous
Crypturellus cinnamomeus,Tinamous
Crypturellus cinnamomeus occidentalis,Tinamous
Crypturellus cinnamomeus [cinnamomeus Group],Tinamous
Crypturellus cinnamomeus soconuscensis,Tinamous
