species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements
Columbina inca,8.0,47.5,10723,côc,côc,Pigeons and Doves,0,2,2,7
Anas crecca,14.0,341.89,370,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Amazilia beryllina,4.0,4.5,6678,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Poecile sclateri,5.0,10.09,1172,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0,2,2,2
Toxostoma curvirostre,10.5,80.54,5046,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0,2,2,3
Hirundo rustica,7.125,17.91,1206,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0,7,4,4
Campylorhynchus jocosus,6.5,27.6,1969,mguîn̲-quiè,mguîn̲-quiè,Wrens,0,1,1,6
Mareca americana,19.85,754.61,271,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Troglodytes aedon,4.699999999999999,10.85,2184,nguzhǐn,nguzhǐn-guì,Wrens,0,6,2,6
Aratinga canicularis,8.9,85.0,0,pèrícw,pèrícw,"Parrots, Parakeets, and Allies",0,1,1,3
Myiarchus tuberculifer,6.75,17.7,2575,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,2,2,12
Micrathene whitneyi,5.5,41.0,28,mquí,mquí,Owls,0,3,3,6
Buteo jamaicensis,22.0,1101.16,2978,msì,msì,"Vultures, Hawks, and Allies",1,7,3,8
Quiscalus mexicanus,14.5,160.47,6954,mguîn̲-bǒo,mguîn̲-bǒo,Blackbirds,0,1,1,3
Falco peregrinus,18.0,759.95,883,msì,msì-dòo,Falcons and Caracaras,0,7,1,3
Corvus corax,25.0,927.97,2006,ngǎ,ngǎ,"Jays, Magpies, Crows, and Ravens",0,1,1,3
Mniotilta varia,5.0,10.9,2991,wǐt,wǐt,Wood-Warblers,0,12,11,15
Tyrannus crassirostris,9.5,55.89,2132,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,3,12
Archilochus colubris,3.375,3.09,3333,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Colibri thalassinus,4.0,5.9,973,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0,14,2,14
Lampornis amethystinus,4.75,5.2,562,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0,14,2,14
Haemorhous mexicanus,6.0,21.4,7991,mguěy,mguěy,"Finches, Euphonias, and Allies",1,4,2,3
Dendroica occidentalis,4.75,10.4,0,wǐt,wǐt,Wood-Warblers,0,12,11,15
Sphyrapicus varius,8.5,50.3,671,càrpìntêr,càrpìntêr-diè,Woodpeckers,0,7,1,8
Myioborus pictus,5.5,9.79,1144,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0,2,2,15
Aeronautes saxatalis,6.5,32.1,259,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3
Sayornis nigricans,6.5,18.63,1918,mguîn̲-guiùu,mguîn̲-guiùu,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,1,1,12
Caprimulgus arizonae,9.399999999999999,53.3,0,pùrpùrwít,pùrpùrwít,Nightjars,0,1,1,1
Circus cyaneus,17.75,392.98,0,msì,msì-lâg,"Vultures, Hawks, and Allies",0,7,3,8
Calothorax pulcher,3.25,2.7,609,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Junco phaeonotus,6.25,20.4,2155,mguîn̲-x-còl-nquǐts,mguîn̲-x-còl-nquǐts,New World Sparrows,0,1,1,10
Anser anser,32.5,3302.41,7,gâns,gâns,Waterfowl,0,2,2,10
Catharus frantzii,6.5,28.9,357,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5
Melospiza lincolnii,5.625,16.6,1733,mtsùu,mtsùu,New World Sparrows,0,8,8,10
Oreothlypis superciliosa,4.25,9.0,2207,nguzhǐn,nguzhǐn-gùts,Wood-Warblers,0,6,1,15
Lepidocolaptes leucogaster,9.0,36.0,380,ârbìtrò,ârbìtrò,Woodcreepers,0,1,1,1
Polioptila caerulea,4.25,5.8,6898,dìx,dìx,Gnatcatchers,0,1,1,1
Melozone albicollis,8.1,46.4,9110,chûurr,chûurr,New World Sparrows,0,1,1,10
Campephilus guatemalensis,13.5,242.0,882,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0,7,2,8
Catharus occidentalis,6.5,26.2,1273,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5
Molothrus aeneus,7.625,62.61,3489,sànât-bûrr,sànât-bûrr,Blackbirds,0,1,1,3
Bubo virginianus,21.5,1575.7,145,dǎm̲,dǎm̲,Owls,1,3,1,6
Melanerpes formicivorus,9.0,79.62,949,càrpìntêr,càrpìntêr-ngǎs,Woodpeckers,0,7,1,8
Aphelocoma californica,11.5,85.74,0,cuǐl̲,cuǐl̲,"Jays, Magpies, Crows, and Ravens",0,2,1,3
Dendroica coronata,5.300000000000001,11.94,0,wǐt,wǐt,Wood-Warblers,0,12,11,15
Passer domesticus,6.0,26.51,4624,mguîn̲-mòlîn,mguîn̲-mòlîn,Old World Sparrows,0,1,1,1
Cypseloides niger,7.25,39.67,236,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3
Cyanocitta stelleri,11.5,128.0,2302,cuǐl̲,cuǐl̲-guì,"Jays, Magpies, Crows, and Ravens",0,2,1,3
Icterus wagleri,8.75,41.8,5262,mguěy,mguěy-guièe-pchôg,Blackbirds,0,4,1,3
Anas platyrhynchos,23.0,843.42,3,bǎd,bǎd,Waterfowl,0,7,2,10
Aimophila ruficeps,6.0,18.69,638,mtsùu,mtsùu,New World Sparrows,0,8,8,10
Tyrannus vociferans,8.5,45.6,5119,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,3,12
Ortalis poliocephala,25.0,760.0,2653,chìchàlác,chìchàlác,"Chachalacas, Guans, and Curassows",0,1,1,1
Psaltriparus minimus,4.5,5.3,2790,mziùud,mziùud,Penduline-Tits and Long-tailed Tits,0,1,1,1
Zenaida macroura,12.0,118.93,1936,mézh,mézh,Pigeons and Doves,0,1,1,7
Falco sparverius,10.5,114.61,2435,líd,líd,Falcons and Caracaras,0,1,1,3
Vireo plumbeus,5.5,16.4,683,mtsùu,mtsùu,Vireos,0,8,8,4
Arremon brunneinucha,7.3,43.97,1157,mguîn̲-wchǔup,mguîn̲-wchǔup,New World Sparrows,0,1,1,10
Geococcyx velox,23.0,179.89,686,mriě,mriě,Cuckoos,0,1,1,1
Trogon mexicanus,12.5,71.0,1561,mèr-dán,mèr-dán,Trogons and Quetzals,0,1,1,2
Salpinctes obsoletus,5.5,16.37,1078,nguzhǐn,nguzhǐn-quiè,Wrens,0,6,1,6
Cynanthus sordidus,3.75,4.0,4751,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Aythya affinis,16.5,819.45,258,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Gallus gallus,28.0,751.72,0,nguǐd,nguǐd,"Grouse, Quail, and Allies",0,1,1,4
Empidonax affinis,5.25,11.3,393,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,11,12
Buteo albonotatus,19.5,745.92,993,msì,msì,"Vultures, Hawks, and Allies",0,7,3,8
Spizella passerina,5.5,12.2,1834,mtsùu,mtsùu,New World Sparrows,0,8,8,10
