,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density,e1,e2
0,Columbina inca,8.0,47.5,10723,côc,côc,Pigeons and Doves,0.0,2.0,2.0,7.0,1.0,0.2145826816558838,0.5728185772895813
1,Anas crecca,14.0,341.89,370,bǎd,bǎd-guìx,Waterfowl,0.0,7.0,5.0,10.0,1.0,-4.350580215454102,-7.755134105682373
2,Amazilia beryllina,4.0,4.5,6678,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,3.0,9.828924179077148,5.65098237991333
3,Poecile sclateri,5.0,10.09,1172,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0.0,2.0,2.0,2.0,,,
4,Toxostoma curvirostre,10.5,80.54,5046,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0.0,2.0,2.0,3.0,1.0,-1.8709707260131836,-4.4659743309021
5,Hirundo rustica,7.125,17.91,1206,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0.0,7.0,4.0,4.0,2.0,2.719197988510132,4.49142599105835
6,Campylorhynchus jocosus,6.5,27.6,1969,mguîn̲-quiè,mguîn̲-quiè,Wrens,0.0,1.0,1.0,6.0,0.0,1.9280505180358887,-1.418441891670227
7,Mareca americana,19.85,754.61,271,bǎd,bǎd-guìx,Waterfowl,0.0,7.0,5.0,10.0,,,
8,Troglodytes aedon,4.699999999999998,10.85,2184,nguzhǐn,nguzhǐn-guì,Wrens,0.0,6.0,2.0,6.0,1.0,6.694299221038818,3.054025173187256
9,Aratinga canicularis,8.9,85.0,0,pèrícw,pèrícw,"Parrots, Parakeets, and Allies",0.0,1.0,1.0,3.0,2.0,-0.5163531303405762,-5.480096340179443
10,Myiarchus tuberculifer,6.75,17.7,2575,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,2.0,2.0,12.0,2.0,2.785400629043579,-0.9113554954528809
11,Micrathene whitneyi,5.5,41.0,28,mquí,mquí,Owls,0.0,3.0,3.0,6.0,0.0,-0.2154081016778946,-0.15540070831775665
12,Buteo jamaicensis,22.0,1101.16,2978,msì,msì,"Vultures, Hawks, and Allies",1.0,7.0,3.0,8.0,3.0,-7.344536781311035,-7.955304145812988
13,Quiscalus mexicanus,14.5,160.47,6954,mguîn̲-bǒo,mguîn̲-bǒo,Blackbirds,0.0,1.0,1.0,3.0,2.0,-4.015438556671143,-6.293465614318848
14,Falco peregrinus,18.0,759.95,883,msì,msì-dòo,Falcons and Caracaras,0.0,7.0,1.0,3.0,1.0,-6.231558322906494,-7.788064002990723
15,Corvus corax,25.0,927.97,2006,ngǎ,ngǎ,"Jays, Magpies, Crows, and Ravens",0.0,1.0,1.0,3.0,1.0,-6.982602119445801,-9.0382080078125
16,Mniotilta varia,5.0,10.9,2991,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,0.0,6.125685691833496,3.034029006958008
17,Tyrannus crassirostris,9.5,55.89,2132,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,3.0,12.0,0.0,-0.6492266058921814,-4.495163917541504
18,Archilochus colubris,3.375,3.09,3333,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,4.0,10.070575714111328,6.470578670501709
19,Colibri thalassinus,4.0,5.9,973,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0.0,14.0,2.0,14.0,5.0,9.975537300109863,5.452643871307373
20,Lampornis amethystinus,4.75,5.2,562,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0.0,14.0,2.0,14.0,5.0,10.380494117736816,5.580941200256348
21,Haemorhous mexicanus,6.0,21.4,7991,mguěy,mguěy,"Finches, Euphonias, and Allies",1.0,4.0,2.0,3.0,,,
22,Dendroica occidentalis,4.75,10.4,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,2.0,5.570706367492676,3.712829828262329
23,Sphyrapicus varius,8.5,50.3,671,càrpìntêr,càrpìntêr-diè,Woodpeckers,0.0,7.0,1.0,8.0,2.0,-0.05450630560517311,-3.52358078956604
24,Myioborus pictus,5.5,9.79,1144,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0.0,2.0,2.0,15.0,2.0,4.670011520385742,4.302792072296143
25,Aeronautes saxatalis,6.5,32.1,259,xlútsǐ,xlútsǐ-ngǎs,Swifts,0.0,7.0,3.0,3.0,1.0,1.5435272455215454,4.525074005126953
26,Sayornis nigricans,6.5,18.63,1918,mguîn̲-guiùu,mguîn̲-guiùu,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,1.0,1.0,12.0,0.0,3.1308133602142334,0.0863933339715004
27,Caprimulgus arizonae,9.4,53.3,0,pùrpùrwít,pùrpùrwít,Nightjars,0.0,1.0,1.0,1.0,,,
28,Circus cyaneus,17.75,392.98,0,msì,msì-lâg,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,3.0,-6.366142749786377,-6.896533012390137
29,Calothorax pulcher,3.25,2.7,609,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,3.0,9.771242141723633,6.552453517913818
30,Junco phaeonotus,6.25,20.4,2155,mguîn̲-x-còl-nquǐts,mguîn̲-x-còl-nquǐts,New World Sparrows,0.0,1.0,1.0,10.0,0.0,2.5776026248931885,1.048083782196045
31,Anser anser,32.5,3302.41,7,gâns,gâns,Waterfowl,0.0,2.0,2.0,10.0,2.0,-7.883289813995361,-9.06258487701416
32,Catharus frantzii,6.5,28.9,357,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0.0,4.0,4.0,5.0,2.0,1.18783438205719,-0.40786293148994446
33,Melospiza lincolnii,5.625,16.6,1733,mtsùu,mtsùu,New World Sparrows,0.0,8.0,8.0,10.0,1.0,3.9069578647613525,2.176321506500244
34,Oreothlypis superciliosa,4.25,9.0,2207,nguzhǐn,nguzhǐn-gùts,Wood-Warblers,0.0,6.0,1.0,15.0,,,
35,Lepidocolaptes leucogaster,9.0,36.0,380,ârbìtrò,ârbìtrò,Woodcreepers,0.0,1.0,1.0,1.0,0.0,1.0466809272766113,-3.76819109916687
36,Polioptila caerulea,4.25,5.8,6898,dìx,dìx,Gnatcatchers,0.0,1.0,1.0,1.0,0.0,6.9216814041137695,4.872118949890137
37,Melozone albicollis,8.1,46.4,9110,chûurr,chûurr,New World Sparrows,0.0,1.0,1.0,10.0,,,
38,Campephilus guatemalensis,13.5,242.0,882,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0.0,7.0,2.0,8.0,0.0,-4.41987419128418,-7.1255784034729
39,Catharus occidentalis,6.5,26.2,1273,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0.0,4.0,4.0,5.0,2.0,1.3548016548156738,-0.41926470398902893
40,Molothrus aeneus,7.625,62.61,3489,sànât-bûrr,sànât-bûrr,Blackbirds,0.0,1.0,1.0,3.0,1.0,-1.1229430437088013,-3.204646110534668
41,Bubo virginianus,21.5,1575.7,145,dǎm̲,dǎm̲,Owls,1.0,3.0,1.0,6.0,2.0,-7.308414459228516,-8.515120506286621
42,Melanerpes formicivorus,9.0,79.62,949,càrpìntêr,càrpìntêr-ngǎs,Woodpeckers,0.0,7.0,1.0,8.0,1.0,-1.4070069789886475,-4.406397342681885
43,Aphelocoma californica,11.5,85.74,0,cuǐl̲,cuǐl̲,"Jays, Magpies, Crows, and Ravens",0.0,2.0,1.0,3.0,0.0,-2.4310595989227295,-5.090334415435791
44,Dendroica coronata,5.300000000000002,11.94,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,2.0,5.2078375816345215,3.2654032707214355
45,Passer domesticus,6.0,26.51,4624,mguîn̲-mòlîn,mguîn̲-mòlîn,Old World Sparrows,0.0,1.0,1.0,1.0,1.0,2.0589404106140137,0.24170762300491333
46,Cypseloides niger,7.25,39.67,236,xlútsǐ,xlútsǐ-ngǎs,Swifts,0.0,7.0,3.0,3.0,1.0,1.4839810132980347,4.466756343841553
47,Cyanocitta stelleri,11.5,128.0,2302,cuǐl̲,cuǐl̲-guì,"Jays, Magpies, Crows, and Ravens",0.0,2.0,1.0,3.0,1.0,-3.459880828857422,-5.798391819000244
48,Icterus wagleri,8.75,41.8,5262,mguěy,mguěy-guièe-pchôg,Blackbirds,0.0,4.0,1.0,3.0,1.0,-0.08467121422290802,-2.555420398712158
49,Anas platyrhynchos,23.0,843.42,3,bǎd,bǎd,Waterfowl,0.0,7.0,2.0,10.0,1.0,-5.812601566314697,-8.699910163879395
50,Aimophila ruficeps,6.0,18.69,638,mtsùu,mtsùu,New World Sparrows,0.0,8.0,8.0,10.0,0.0,3.493777275085449,1.7575304508209229
51,Tyrannus vociferans,8.5,45.6,5119,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,3.0,12.0,2.0,0.019841985777020454,-3.5408332347869873
52,Ortalis poliocephala,25.0,760.0,2653,chìchàlác,chìchàlác,"Chachalacas, Guans, and Curassows",0.0,1.0,1.0,1.0,0.0,-7.091322422027588,-7.122018814086914
53,Psaltriparus minimus,4.5,5.3,2790,mziùud,mziùud,Penduline-Tits and Long-tailed Tits,0.0,1.0,1.0,1.0,0.0,6.637730598449707,5.526587963104248
54,Zenaida macroura,12.0,118.93,1936,mézh,mézh,Pigeons and Doves,0.0,1.0,1.0,7.0,1.0,-3.8777968883514404,-2.7916982173919678
55,Falco sparverius,10.5,114.61,2435,líd,líd,Falcons and Caracaras,0.0,1.0,1.0,3.0,0.0,-2.896697759628296,-4.392193794250488
56,Vireo plumbeus,5.5,16.4,683,mtsùu,mtsùu,Vireos,0.0,8.0,8.0,4.0,1.0,3.806180953979492,2.198802947998047
57,Arremon brunneinucha,7.3,43.97,1157,mguîn̲-wchǔup,mguîn̲-wchǔup,New World Sparrows,0.0,1.0,1.0,10.0,2.0,-0.36952680349349976,-2.264005422592163
58,Geococcyx velox,23.0,179.89,686,mriě,mriě,Cuckoos,0.0,1.0,1.0,1.0,1.0,-4.179459571838379,-6.172731876373291
59,Trogon mexicanus,12.5,71.0,1561,mèr-dán,mèr-dán,Trogons and Quetzals,0.0,1.0,1.0,2.0,2.0,-0.37756168842315674,-5.112788200378418
60,Salpinctes obsoletus,5.5,16.37,1078,nguzhǐn,nguzhǐn-quiè,Wrens,0.0,6.0,1.0,6.0,1.0,5.871033668518066,1.731899380683899
61,Cynanthus sordidus,3.75,4.0,4751,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,4.0,10.038439750671387,5.908985614776611
62,Aythya affinis,16.5,819.45,258,bǎd,bǎd-guìx,Waterfowl,0.0,7.0,5.0,10.0,1.0,-5.252277374267578,-8.608641624450684
63,Gallus gallus,28.0,751.72,0,nguǐd,nguǐd,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,1.0,-6.7630157470703125,-6.605412006378174
64,Empidonax affinis,5.25,11.3,393,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,12.0,11.0,12.0,2.0,4.316389083862305,3.7969210147857666
65,Buteo albonotatus,19.5,745.92,993,msì,msì,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,1.0,-6.982306003570557,-7.632564067840576
66,Spizella passerina,5.5,12.2,1834,mtsùu,mtsùu,New World Sparrows,0.0,8.0,8.0,10.0,1.0,4.5041704177856445,3.1946401596069336
67,Colaptes auratus,13.375,131.46,930,mguîn̲-pliêgw,mguîn̲-pliêgw,Woodpeckers,0.0,1.0,1.0,8.0,1.0,-3.195875644683838,-6.0412278175354
68,Myiarchus nuttingi,7.25,23.0,1903,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,2.0,2.0,12.0,2.0,2.397458553314209,-0.8086063861846924
69,Pooecetes gramineus,6.125,25.68,198,wǐt,wǐt,New World Sparrows,0.0,12.0,11.0,10.0,1.0,1.9623353481292725,0.9024518132209778
70,Mitrephanes phaeocercus,5.0,8.59,1776,wǐt,wǐt-dán,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,12.0,1.0,12.0,0.0,4.408796310424805,5.037787437438965
71,Aimophila mystacalis,6.25,22.2,0,mtsùu,mtsùu,New World Sparrows,0.0,8.0,8.0,10.0,2.0,2.3301711082458496,0.5882084369659424
72,Amazona finschi,13.0,302.0,311,lòr,lòr,"Parrots, Parakeets, and Allies",0.0,1.0,1.0,3.0,1.0,-4.440603733062744,-8.092778205871582
73,Myadestes occidentalis,8.0,36.4,3842,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0.0,4.0,4.0,5.0,2.0,0.5168774724006653,0.24962937831878662
74,Spinus notatus,4.25,10.9,664,yěets,yěets-dán,"Finches, Euphonias, and Allies",0.0,3.0,1.0,3.0,,,
75,Piranga rubra,7.75,29.13,2062,mguěy,mguěy,"Cardinals, Grosbeaks, and Allies",0.0,4.0,2.0,2.0,1.0,0.9804143905639648,-2.4404239654541016
76,Baeolophus wollweberi,4.625,10.4,510,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0.0,2.0,2.0,2.0,2.0,4.952420711517334,4.795951843261719
77,Accipiter cooperii,17.5,429.67,1551,msì,msì-lâg,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,2.0,-6.162684917449951,-6.538333892822266
78,Centurus hypopolius,7.85,52.4,0,càrpìntêr,càrpìntêr-psì,Woodpeckers,0.0,7.0,1.0,8.0,,,
79,Picoides scalaris,7.0,31.59,0,càrpìntêr,càrpìntêr-psì-yèen̲,Woodpeckers,0.0,7.0,1.0,8.0,1.0,1.2399648427963257,-1.9888707399368286
80,Selasphorus rufus,3.75,3.5,360,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,3.0,10.215205192565918,6.491495609283447
81,Coragyps atratus,25.0,1881.69,8865,pěch,pěch-rúx,"Vultures, Hawks, and Allies",0.0,2.0,1.0,8.0,2.0,-7.7773308753967285,-8.493021011352539
82,Ara militaris,29.5,1134.0,85,měw,měw,"Parrots, Parakeets, and Allies",0.0,1.0,1.0,3.0,0.0,-6.919055938720703,-9.607635498046875
83,Tyrannus verticalis,8.75,39.6,1155,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,3.0,12.0,0.0,0.40041136741638184,-3.0545260906219482
84,Megascops trichopsis,7.25,88.26,112,mquí,mquí,Owls,0.0,3.0,3.0,6.0,1.0,-2.2602827548980713,-3.2495486736297607
85,Cypseloides rutilus,6.25,20.2,0,xlútsǐ,xlútsǐ-ngǎs,Swifts,0.0,7.0,3.0,3.0,,,
86,Thryomanes bewickii,5.25,9.9,5465,nguzhǐn,nguzhǐn,Wrens,1.0,6.0,1.0,6.0,1.0,6.679413795471191,3.3202905654907227
87,Columba livia,13.5,354.2,2254,pàlôm,pàlôm,Pigeons and Doves,1.0,2.0,1.0,7.0,0.0,-4.756372928619385,-4.3854217529296875
88,Cardellina rubrifrons,5.0,8.1,577,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,2.0,5.422158241271973,4.848318099975586
89,Spatula discors,15.15,359.44,2080,bǎd,bǎd-guìx,Waterfowl,0.0,7.0,5.0,10.0,,,
90,Pipilo ocai,8.2,60.95,1116,chùubây,chùubây,New World Sparrows,0.0,1.0,1.0,10.0,1.0,-1.0968430042266846,-2.493838310241699
91,Empidonax oberholseri,5.75,10.4,1198,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,12.0,11.0,12.0,2.0,4.5309529304504395,3.964782238006592
92,Cyrtonyx montezumae,8.5,185.38,18,mtǒ,mtǒ,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,0.0,-2.8068385124206543,-2.862793445587158
93,Empidonax occidentalis,5.75,11.6,967,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,12.0,11.0,12.0,1.0,4.056519508361816,3.4770569801330566
94,Sayornis saya,7.5,20.9,302,cùchguêr,xín-cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,1.0,12.0,2.0,2.5252506732940674,-0.6317682862281799
95,Melanotis caerulescens,10.0,61.57,4343,mæ̀cw-guiùu,mæ̀cw-guiùu,"Catbirds, Mockingbirds, and Thrashers",0.0,1.0,1.0,3.0,1.0,-1.348881483078003,-3.508944034576416
96,Cairina moschata,30.0,2415.78,257,bǎd,bǎd,Waterfowl,0.0,7.0,2.0,10.0,3.0,-7.449632167816162,-9.088957786560059
97,Cardellina pusilla,4.3,6.96,7578,yěets,yěets,Wood-Warblers,0.0,3.0,1.0,15.0,,,
98,Trogon elegans,11.75,70.89,284,chòo-dzê,chòo-dzê,Trogons and Quetzals,0.0,1.0,1.0,2.0,2.0,-0.405269056558609,-5.015099048614502
99,Leptotila verreauxi,11.0,146.88,3268,guiès-ró-yù,guiès-ró-yù,Pigeons and Doves,0.0,1.0,1.0,7.0,2.0,-3.8212335109710693,-3.1071231365203857
100,Columbina passerina,6.5,35.36,2100,côc,côc,Pigeons and Doves,0.0,2.0,2.0,7.0,0.0,1.0430142879486084,1.8263555765151978
101,Ciccaba virgata,13.2,283.97,338,dǎm̲,dǎm̲-yêt,Owls,0.0,3.0,2.0,6.0,,,
102,Dryocopus lineatus,13.3,183.19,1103,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0.0,7.0,2.0,8.0,1.0,-3.8823890686035156,-6.6688103675842285
103,Dryobates villosus,8.649999999999999,62.65,1156,càrpìntêr,càrpìntêr-ló-guì,Woodpeckers,0.0,7.0,1.0,8.0,,,
104,Contopus pertinax,8.0,27.2,3019,pédrǐt,pédrǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,1.0,1.0,12.0,2.0,1.4451104402542114,-2.3388993740081787
105,Henicorhina leucophrys,4.25,16.19,1592,nguzhǐn,nguzhǐn-guì,Wrens,0.0,6.0,2.0,6.0,0.0,6.687135696411133,2.2411446571350098
106,Accipiter striatus,12.0,130.59,862,msì,msì-lâg,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,0.0,-3.280606508255005,-4.785995960235596
107,Amazilia wagneri,3.9,5.24,0,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,,,
