species,common_name,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Myiarchus nuttingi,Nutting's Flycatcher,23.0,1903,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,2,2,12,-0.782615029,-0.22548082600000002,-0.390546026,0.002440888,0.02072506,-0.05552061900000001,0.223923928,0.01852961,-0.11217792,-0.149743027,-0.162164052,0.23678196899999998,0.150732418,Neotropic,Omnivore,Invertivore,Invertivore sally surface
Sayornis nigricans,Black Phoebe,18.63,1918,mguîn̲-guiùu,mguîn̲-guiùu,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,1,1,12,-1.1421088,-0.030969838,-0.258629895,-0.214947115,-0.04660222,0.072948647,0.29337183699999997,0.052136817,0.046455605999999997,-0.538514605,0.022452472999999997,0.30120409600000003,-0.02578352,Neotropic,Carnivore,Invertivore,Generalist
Amazilia rutila,Cinnamon Hummingbird,5.24,0,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-2.9640633739999998,-1.249926401,0.592950664,-0.511377775,-0.7377640459999999,-0.08675593300000001,0.138461034,-0.155519667,-0.002127908,-0.6873897309999999,1.1431439840000002,0.21681909600000002,0.131604475,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Tyrannus vociferans,Cassin's Kingbird,45.6,5119,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,3,12,0.201103127,-0.30235883399999997,-0.37445808399999997,-0.05348328,-0.16992136800000002,0.16202809199999998,0.224734269,0.012509963,0.06136523,0.368699336,-0.114129688,0.255069691,0.0042446409999999995,Nearctic,Carnivore,Invertivore,Invertivore sally air
Patagioenas fasciata,Band-tailed Pigeon,366.3,927,pàlôm,pàlôm-dán,Pigeons and Doves,0,2,1,7,2.005545909,0.7191630859999999,0.20907761100000002,-0.291180313,-0.639533566,-0.08092766700000001,0.095891625,0.182247464,-0.111456708,0.183447525,0.116369137,0.12106057199999999,-0.032545425,Nearctic,Herbivore,Granivore,Granivore ground
Empidonax affinis,Pine Flycatcher,11.3,393,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,11,12,-1.835432533,-0.022964848,-0.25627313,-0.12338360400000001,-0.028224815,0.104301145,0.228720182,0.036864454,0.009378026,-0.86389373,-0.031609595,0.24301541100000001,0.032264871,Neotropic,Carnivore,Invertivore,Generalist
Buteo brachyurus,Short-tailed Hawk,496.01,1314,msì,msì,"Vultures, Hawks, and Allies",0,7,3,9,3.11190996,0.583149971,-0.397694537,-0.052591095,-0.015815659,0.18604974800000001,-0.07295801,0.010935512,0.013530631000000001,1.071510272,-0.444810497,-0.067657046,-0.07417188400000001,Neotropic,Carnivore,Vertivore,Vertivore air to surface
Aeronautes saxatalis,White-throated Swift,32.1,259,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3,-1.592771859,1.464638865,-0.159234522,0.058448676,-1.054257618,0.11262666699999999,0.032851588,-0.330202133,0.021544687000000003,-2.0707901630000003,-0.585014622,0.118501785,-0.132900709,Nearctic,Carnivore,Invertivore,Invertivore aerial
Amazilia beryllina,Berylline Hummingbird,4.5,6678,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-3.151490367,-1.18372846,0.603564517,-0.45005863399999996,-0.616923621,-0.015183296,-0.025180794,-0.14272791,-0.013790068,-0.806873682,1.090724239,0.050000496,0.161141393,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Leiothlypis celata,Orange-crowned Warbler,9.19,0,wǐt,wǐt,Wood-Warblers,0,12,11,15,-2.115629225,0.00096453,-0.163527183,0.12222412,0.259543174,0.063500359,0.011553655,-0.092295733,-0.047868629,-0.942694465,-0.162597739,0.010292343,0.093822592,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
