,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
0,Catherpes mexicanus,5.0,11.97,2327,nguzhǐn,nguzhǐn-zhàn̲-quiè,Wrens,0.0,6.0,1.0,6.0,-5.132123671953931
1,Cynanthus sordidus,3.75,4.0,4751,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,-4.837269892256552
2,Buteo brachyurus,16.0,496.01,1314,msì,msì,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,-4.979048909283172
3,Accipiter cooperii,17.5,429.67,1551,msì,msì-lâg,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,-5.343824532791616
4,Caracara plancus,49.5,1078.62,0,mguîn̲-rlæ̌-dzìt,mguîn̲-rlæ̌-dzìt,Falcons and Caracaras,0.0,1.0,1.0,3.0,
5,Buteo jamaicensis,22.0,1101.16,2978,msì,msì,"Vultures, Hawks, and Allies",1.0,7.0,3.0,8.0,-5.101580174730026
6,Cypseloides rutilus,6.25,20.2,0,xlútsǐ,xlútsǐ-ngǎs,Swifts,0.0,7.0,3.0,3.0,
7,Coragyps atratus,25.0,1881.69,8865,pěch,pěch-rúx,"Vultures, Hawks, and Allies",0.0,2.0,1.0,8.0,-5.680783967481976
8,Turdus migratorius,10.0,78.5,1542,miân,miân,Thrushes,0.0,1.0,1.0,5.0,-4.468447698154956
9,Pooecetes gramineus,6.125,25.68,198,wǐt,wǐt,New World Sparrows,0.0,12.0,11.0,10.0,-4.22815351294206
10,Glaucidium gnoma,7.25,61.25,413,mquí,mquí,Owls,0.0,3.0,3.0,6.0,-4.918753748499204
11,Zenaida macroura,12.0,118.93,1936,mézh,mézh,Pigeons and Doves,0.0,1.0,1.0,7.0,-5.593194230103344
12,Hylocharis leucotis,3.4,3.39,2753,dzǐn̲g,dzǐn̲g-dán-yǎ-guì,Hummingbirds,0.0,14.0,1.0,14.0,-5.415797483676789
13,Icterus wagleri,8.75,41.8,5262,mguěy,mguěy-guièe-pchôg,Blackbirds,0.0,4.0,1.0,3.0,-4.184489834924988
