LANGUAGE NAME,SCIENTIFIC NAME,BASIC LEVEL
gàrs, Bubulcus ibis, gàrs
gàrs-nquǐts, Bubulcus ibis, gàrs
pìxîx, Dendrocygna autumnalis, pìxîx
gâns, Anser anser, gâns
gâns, Anser cygnoides, gâns
bǎd, Cairina moschata, bǎd
bǎd-xtîl, Cairina moschata, bǎd
bǎd, Anas platyrhynchos, bǎd
bǎd-xtîl, Anas platyrhynchos, bǎd
bǎd-guìx, Anas crecca, bǎd
bǎd-guìx, Spatula discors, bǎd
bǎd-guìx, Mareca americana, bǎd
bǎd-guìx, Aythya affinis, bǎd
bǎd-guìx, Oxyura jamaicensis, bǎd
pěch-rúx, Coragyps atratus, pěch
pěch, Cathartes aura, pěch
msì, Buteo jamaicensis, msì
msì-dòo, Buteo jamaicensis, msì
msì, Buteo brachyurus, msì
msì, Buteo albonotatus, msì
msì-dòo, Falco peregrinus, msì
msì-lâg, Accipiter striatus, msì
msì-lâg, Accipiter cooperii, msì
msì-lâg, Circus cyaneus, msì
mguîn̲-rlæ̌-dzìt, Caracara plancus, mguîn̲-rlæ̌-dzìt
líd, Falco sparverius, líd
chìchàlác, Ortalis poliocephala, chìchàlác
mèr, Meleagris gallopavo, mèr
nguǐd, Gallus gallus, nguǐd
mtsòo, Dendrortyx macroura, mtsòo
mtǒ, Cyrtonyx montezumae, mtǒ
pàlôm, Columba livia, pàlôm
pàlôm-dán, Patagioenas fasciata, pàlôm
còolíchè, Zenaida asiatica, còolíchè
mézh, Zenaida macroura, mézh
côc, Columbina inca, côc
côc, Columbina passerina, côc
guiès-ró-yù, Leptotila verreauxi, guiès-ró-yù
měw, Ara militaris, měw
pèrícw, Aratinga canicularis, pèrícw
lòr, Amazona finschi, lòr
mriě, Geococcyx velox, mriě
mquí, Megascops trichopsis, mquí
mquí, Micrathene whitneyi, mquí
mquí, Glaucidium gnoma, mquí
dǎm̲, Bubo virginianus, dǎm̲
dǎm̲-yêt, Ciccaba virgata, dǎm̲
dǎm̲-yêt, Asio stygius, dǎm̲
pùrpùrwít, Caprimulgus arizonae, pùrpùrwít
xlútsǐ-ngǎs, Cypseloides niger, xlútsǐ
xlútsǐ-ngǎs, Cypseloides rutilus, xlútsǐ
xlútsǐ-ngǎs, Aeronautes saxatalis, xlútsǐ
xlútsǐ-nquǐts, Tachycineta thalassina, xlútsǐ
xlútsǐ-nquǐts, Stelgidopteryx serripennis, xlútsǐ
xlútsǐ-nquǐts, Hirundo pyrrhonota, xlútsǐ
xlútsǐ-nquǐts, Hirundo rustica, xlútsǐ
dzǐn̲g, Cynanthus sordidus, dzǐn̲g
dzǐn̲g, Amazilia beryllina, dzǐn̲g
dzǐn̲g, Amazilia viridifrons, dzǐn̲g
dzǐn̲g, Amazilia wagneri, dzǐn̲g
dzǐn̲g, Lampornis clemenciae, dzǐn̲g
dzǐn̲g, Lamprolaima rhami, dzǐn̲g
dzǐn̲g, Eugenes fulgens, dzǐn̲g
dzǐn̲g, Calothorax pulcher, dzǐn̲g
dzǐn̲g, Archilochus colubris, dzǐn̲g
dzǐn̲g, Selasphorus rufus, dzǐn̲g
dzǐn̲g-dán-yǎ-guì, Hylocharis leucotis, dzǐn̲g
dzǐn̲g-gué, Atthis heloisa, dzǐn̲g
dzǐn̲g-yǎ-guì, Colibri thalassinus, dzǐn̲g
dzǐn̲g-yǎ-guì, Lampornis amethystinus, dzǐn̲g
chòo-dzê, Trogon elegans, chòo-dzê
mèr-dán, Trogon mexicanus, mèr-dán
càrpìntêr-ngǎs, Melanerpes formicivorus, càrpìntêr
càrpìntêr-diè, Sphyrapicus varius, càrpìntêr
càrpìntêr-psì, Centurus hypopolius, càrpìntêr
càrpìntêr-diè, Centurus hypopolius, càrpìntêr
càrpìntêr-psì-yèen̲, Picoides scalaris, càrpìntêr
càrpìntêr-ló-guì, Dryobates villosus, càrpìntêr
càrpìntêr-mâch, Dryocopus lineatus, càrpìntêr
càrpìntêr-mâch, Campephilus guatemalensis, càrpìntêr
mguîn̲-pliêgw, Colaptes auratus, mguîn̲-pliêgw
