LANGUAGE NAME,SCIENTIFIC NAME,FOLK GENERIC,COMMON NAME
gàrs, Bubulcus ibis, gàrs, Cattle Egret
gàrs-nquǐts, Bubulcus ibis, gàrs, Cattle Egret
pìxîx, Dendrocygna autumnalis, pìxîx, Black-bellied Whistling-Duck
gâns, Anser anser, gâns, Gray-lag Goose
gâns, Anser cygnoides, gâns, Swan Goose
bǎd, Cairina moschata, bǎd, Muscovy Duck
bǎd-xtîl, Cairina moschata, bǎd, Muscovy Duck
bǎd, Anas platyrhynchos, bǎd, Mallard
bǎd-xtîl, Anas platyrhynchos, bǎd, Mallard
bǎd-guìx, Anas crecca, bǎd, Green-winged Teal
bǎd-guìx, Spatula discors, bǎd, Blue-winged Teal
bǎd-guìx, Mareca americana, bǎd, American Wigeon
bǎd-guìx, Aythya affinis, bǎd, Lesser Scaup
bǎd-guìx, Oxyura jamaicensis, bǎd, Ruddy Duck
pěch-msìdòo, Sarcoramphus papa, pěch, King Vulture 
pěch-rúx, Coragyps atratus, pěch, Black Vulture
pěch, Cathartes aura, pěch, Turkey Vulture
msì, Buteo jamaicensis, msì, Red-tailed Hawk
msì-dòo, Buteo jamaicensis, msì, Red-tailed Hawk
msì, Buteo brachyurus, msì, Short-tailed Hawk
msì, Buteo albonotatus, msì, Zone-tailed Hawk
msì-dòo, Falco peregrinus, msì, Peregrine Falcon
msì-lâg, Accipiter striatus, msì, Sharp-shinned Hawk
msì-lâg, Accipiter cooperii, msì, Cooper's Hawk
msì-lâg, Circus cyaneus, msì, Northern Harrier
mguîn̲-rlæ̌-dzìt, Caracara plancus, mguîn̲-rlæ̌-dzìt, Crested Caracara
líd, Falco sparverius, líd, American Kestrel
chìchàlác, Ortalis poliocephala, chìchàlác, West Mexican Chachalaca
mèr, Meleagris gallopavo, mèr, Wild Turkey
nguǐd, Gallus gallus, nguǐd, Red Jungle Fowl
mtsòo, Dendrortyx macroura, mtsòo, Long-tailed Wood-Partridge
mtǒ, Cyrtonyx montezumae, mtǒ, Montezuma Quail
pàlôm, Columba livia, pàlôm, Rock Pigeon
pàlôm-dán, Patagioenas fasciata, pàlôm, Band-tailed Pigeon
còolíchè, Zenaida asiatica, còolíchè, White-winged Dove
mézh, Zenaida macroura, mézh, Mourning Dove
côc, Columbina inca, côc, Inca Dove
côc, Columbina passerina, côc, Common Ground Dove
guiès-ró-yù, Leptotila verreauxi, guiès-ró-yù, White-tipped Dove
měw, Ara militaris, měw, Military Macaw
pèrícw, Aratinga canicularis, pèrícw, Orange-fronted Parakeet
lòr, Amazona finschi, lòr, Lilac-crowned Parrot
mriě, Geococcyx velox, mriě, Lesser Roadrunner
mquí, Megascops trichopsis, mquí, Whiskered Screech-Owl
mquí, Micrathene whitneyi, mquí, Elf Owl 
mquí, Glaucidium gnoma, mquí, Mountain Pygmy-Owl
dǎm̲, Bubo virginianus, dǎm̲, Great Horned Owl
dǎm̲-yêt, Ciccaba virgata, dǎm̲, Mottled Owl
dǎm̲-yêt, Asio stygius, dǎm̲, Stygian Owl
pùrpùrwít, Caprimulgus arizonae, pùrpùrwít, Mexican Whip-poor-will
xlútsǐ-ngǎs, Cypseloides niger, xlútsǐ, Black Swift
xlútsǐ-ngǎs, Cypseloides rutilus, xlútsǐ, Chestnut-collared Swift
xlútsǐ-ngǎs, Aeronautes saxatalis, xlútsǐ, White-throated Swift
xlútsǐ-nquǐts, Tachycineta thalassina, xlútsǐ, Violet-green Swallow
xlútsǐ-nquǐts, Stelgidopteryx serripennis, xlútsǐ, Northern Rough-winged Swallow
xlútsǐ-nquǐts, Hirundo pyrrhonota, xlútsǐ, Cliff Swallow
xlútsǐ-nquǐts, Hirundo rustica, xlútsǐ, Barn Swallow
dzǐn̲g, Cynanthus sordidus, dzǐn̲g, Dusky Hummingbird
dzǐn̲g, Amazilia beryllina, dzǐn̲g, Berylline Hummingbird
dzǐn̲g, Amazilia viridifrons, dzǐn̲g, Green-fronted Hummingbird
dzǐn̲g, Amazilia wagneri, dzǐn̲g, Cinnamon-sided Hummingbird
dzǐn̲g, Lampornis clemenciae, dzǐn̲g, Blue-throated Hummingbird
dzǐn̲g, Lamprolaima rhami, dzǐn̲g, Garnet-throated Hummingbird
dzǐn̲g, Eugenes fulgens, dzǐn̲g, Magnificent Hummingbird
dzǐn̲g, Calothorax pulcher, dzǐn̲g, Beautiful Hummingbird
dzǐn̲g, Archilochus colubris, dzǐn̲g, Ruby-throated Hummingbird
dzǐn̲g, Selasphorus rufus, dzǐn̲g, Rufous Hummingbird
dzǐn̲g-dán-yǎ-guì, Hylocharis leucotis, dzǐn̲g, White-eared Hummingbird
dzǐn̲g-gué, Atthis heloisa, dzǐn̲g, Bumblebee Hummingbird
dzǐn̲g-yǎ-guì, Colibri thalassinus, dzǐn̲g, Green Violet-ear Hummingbird
dzǐn̲g-yǎ-guì, Lampornis amethystinus, dzǐn̲g, Amethyst-throated Hummingbird
chòo-dzê, Trogon elegans, chòo-dzê, Elegant Trogon
mèr-dán, Trogon mexicanus, mèr-dán, Mountain Trogon
càrpìntêr-ngǎs, Melanerpes formicivorus, càrpìntêr, Acorn Woodpecker
càrpìntêr-diè, Sphyrapicus varius, càrpìntêr, Yellow-bellied Sapsucker
càrpìntêr-psì, Centurus hypopolius, càrpìntêr, Gray-breasted Woodpecker
càrpìntêr-diè, Centurus hypopolius, càrpìntêr, Gray-breasted Woodpecker
càrpìntêr-psì-yèen̲, Picoides scalaris, càrpìntêr, Ladder-backed Woodpecker 
càrpìntêr-ló-guì, Dryobates villosus, càrpìntêr, Hairy Woodpecker
càrpìntêr-mâch, Dryocopus lineatus, càrpìntêr, Lineated Woodpecker
càrpìntêr-mâch, Campephilus guatemalensis, càrpìntêr, Pale-billed Woodpecker
mguîn̲-pliêgw, Colaptes auratus, mguîn̲-pliêgw, Northern Flicker
ârbìtrò, Lepidocolaptes leucogaster, ârbìtrò, White-striped Woodcreeper
pédrǐt, Contopus pertinax, pédrǐt, Greater Pewee
mguîn̲-guiùu, Sayornis nigricans, mguîn̲-guiùu, Black Phoebe
mguîn̲-rchǔup, Myiarchus tuberculifer, mguîn̲-rchǔup, Dusky-capped Flycatcher
mguîn̲-rchǔup, Myiarchus nuttingi, mguîn̲-rchǔup, Nutting´s Flycatcher
cùchguêr, Tyrannus vociferans, cùchguêr, Cassin´s Kingbird
cùchguêr, Tyrannus crassirostris, cùchguêr, Thick-billed Kingbird
cùchguêr, Tyrannus verticalis, cùchguêr, Western Kingbird
xín-cùchguêr, Sayornis saya, cùchguêr, Say´s Phoebe
mtsùu, Vireo cassinii, mtsùu, Cassin´s Vireo
mtsùu, Vireo plumbeus, mtsùu, Plumbeous Vireo
mtsùu, Vireo huttoni, mtsùu, Hutton´s Vireo
mtsùu, Vireo gilvus, mtsùu, Warbling Vireo
cuǐl̲, Aphelocoma californica, cuǐl̲, Western Scrub-Jay
cuǐl̲-guì, Cyanocitta stelleri, cuǐl̲, Steller´s Jay
ngǎ, Corvus corax, ngǎ, Common Raven
mguîn̲-ló-liù, Eremophila alpestris, mguîn̲-ló-liù, Horned Lark
mguîn̲-zhàn̲-guìzh, Eremophila alpestris, mguîn̲-ló-liù, Horned Lark 
mguîn̲-pàyâs, Poecile sclateri, mguîn̲-pàyâs, Mexican Chickadee
mguîn̲-pàyâs, Baeolophus wollweberi, mguîn̲-pàyâs, Bridled Titmouse
mziùud, Psaltriparus minimus, mziùud, Bushtit
mguîn̲-quiè, Campylorhynchus jocosus, mguîn̲-quiè, Boucard´s Wren
mguîn̲-yěts, Campylorhynchus jocosus, mguîn̲-quiè, Boucard´s Wren
nguzhǐn, Thryomanes bewickii, nguzhǐn, Bewick´s Wren
nguzhǐn-quiè, Salpinctes obsoletus, nguzhǐn, Rock Wren
nguzhǐn-zhàn̲-quiè, Catherpes mexicanus, nguzhǐn, Canyon Wren
nguzhǐn-guì, Troglodytes aedon, nguzhǐn, Brown-throated Wren
nguzhǐn-guì, Henicorhina leucophrys, nguzhǐn, Gray-breasted Wood-Wren
nguzhǐn-gùts, Oreothlypis superciliosa, nguzhǐn, Crescent-chested Warbler
mguîn̲-nìs, Cinclus mexicanus, mguîn̲-nìs, American Dipper
dìx, Polioptila caerulea, dìx, Blue-gray Gnatcatcher
mguîn̲-guìib-tsár, Myadestes occidentalis, mguîn̲-guìib-tsár, Brown-backed Solitaire
mguîn̲-guìib-tsár, Catharus aurantiirostris, mguîn̲-guìib-tsár, Orange-billed Nightingale-Thrush
mguîn̲-guìib-tsár, Catharus occidentalis, mguîn̲-guìib-tsár, Russet Nightingale-Thrush
mguîn̲-guìib-tsár, Catharus frantzii, mguîn̲-guìib-tsár, Ruddy-capped Nightingale-Thrush
miân, Turdus migratorius, miân, American Robin
mquièts, Mimus polyglottos, mquièts, Northern Mockingbird
mquièts, Toxostoma curvirostre, mquièts, Curve-billed Thrasher
mæ̀cw-guiùu, Melanotis caerulescens, mæ̀cw-guiùu, Blue Mockingbird
mguîn̲-bæ̀d, Bombycilla cedrorum, mguîn̲-bæ̀d, Cedar Waxwing
péedrùuch, Ptiliogonys cinereus, péedrùuch, Gray Silky-Flycatcher
wǐt, Empidonax oberholseri, wǐt, Dusky Flycatcher
wǐt, Dendroica coronata, wǐt, Yellow-rumped Warbler
wǐt, Pooecetes gramineus, wǐt, Vesper Sparrow
wǐt, Empidonax occidentalis, wǐt, Cordilleran Flycatcher
wǐt, Empidonax affinis, wǐt, Pine Flycatcher
wǐt, Vermivora celata, wǐt, Orange-crowned Warbler
wǐt, Dendroica nigrescens, wǐt, Black-throated-gray Warbler
wǐt, Dendroica occidentalis, wǐt, Hermit Warbler
wǐt, Mniotilta varia, wǐt, Black-and-white Warbler 
wǐt, Oporornis tolmiei, wǐt, MacGillivray´s Warbler
wǐt, Cardellina rubrifrons, wǐt, Red-faced Warbler
wǐt-dán, Mitrephanes phaeocercus, wǐt, Tufted Flycatcher
mguîn̲-mâ-zhiàn, Myioborus pictus, mguîn̲-mâ-zhiàn, Painted Redstart
mguîn̲-mâ-zhiàn, Myioborus miniatus, mguîn̲-mâ-zhiàn, Slate-throated Redstart
mguîn̲-tsíríic, Vermivora ruficapilla, mguîn̲-tsíríic, Nashville Warbler
yěets, Cardellina pusilla, yěets, Wilson´s Warbler
yěets-dán, Spinus notatus, yěets, Black-headed Siskin
yěets-pînt, Setophaga townsendi, yěets, Townsend´s Warbler
x-quǐit-ngùbìdz, Ergaticus ruber, x-quǐit-ngùbìdz, Red Warbler
mguîn̲-dǎm̲, Basileuterus rufifrons, mguîn̲-dǎm̲, Rufous-capped Warbler
mguěy, Haemorhous mexicanus, mguěy, House Finch
mguěy-ndòo, Haemorhous mexicanus, mguěy, House Finch
mguěy, Piranga rubra, mguěy, Summer Tanager
měy-guièe, Piranga rubra, mguěy, Summer Tanager
mguěy-guièe-pchôg, Icterus wagleri, mguěy, Black-vented Oriole
mguěy-guièe-pchôg, Pheucticus melanocephalus, mguěy, Black-headed Grosbeak
mguěy-guièe-dán, Pheucticus melanocephalus, mguěy, Black-headed Grosbeak
mguîn̲-wchǔup, Arremon brunneinucha, mguîn̲-wchǔup, Chestnut-capped Brushfinch
chùubây, Pipilo ocai, chùubây, Collared Towhee
mguîn̲-wǐx, Pipilo maculatus, mguîn̲-wǐx, Spotted Towhee
chûurr, Melozone albicollis, chûurr, White-throated Towhee
mtsùu, Aimophila ruficeps, mtsùu, Rufous-crowned Sparrow
mguîn̲-pánt, Aimophila ruficeps, mtsùu, Rufous-crowned Sparrow
mguîn̲-zhàn̲-guìzh, Aimophila ruficeps, mtsùu, Rufous-crowned Sparrow
mtsùu, Aimophila mystacalis, mtsùu, Bridled Sparrow
mtsùu, Spizella passerina, mtsùu, Chipping Sparrow
mtsùu, Melospiza lincolnii, mtsùu, Lincoln´s Sparrow
mguîn̲-x-còl-nquǐts, Junco phaeonotus, mguîn̲-x-còl-nquǐts, Yellow-eyed Junco
mguîn̲-bǒo, Quiscalus mexicanus, mguîn̲-bǒo, Great-tailed Grackle
mguîn̲-ngǎs, Quiscalus mexicanus, mguîn̲-bǒo, Great-tailed Grackle
sànât-bûrr, Molothrus aeneus, sànât-bûrr, Bronzed Cowbird
mdzíl-dò, Carduelis psaltria, mdzíl-dò, Lesser Goldfinch
mguîn̲-mòlîn, Passer domesticus, mguîn̲-mòlîn, House Sparrow
